0.765, 0.1,   0.103, 0.6,   0.026, 1
0.759, 0.091, 0.084, 0.039, 0.026, 1
0.809, 0.086, 0.044, 0.038, 0.023, 1
0.726, 0.079, 0.124, 0.021, 0.049, 2
0.854, 0.079, 0.05,  0.023, 0.002, 2
0.806, 0.059, 0.064,0.034,  0.038, 2
0.727, 0.06,  0.19,  0.023, 0.0,   3
0.833, 0.046, 0.095, 0.021, 0.005, 3
0.916, 0.032, 0.029, 0.02,  0.003, 3
0.827, 0.041, 0.083, 0.017, 0.032, 3
0.854, 0.035, 0.056, 0.021, 0.033, 2
0.686, 0.051, 0.212, 0.026, 0.025, 3
0.775, 0.108, 0.093, 0.004, 0.02,  1
0.735, 0.083, 0.18,  0.026, 0.018, 2
0.883, 0.05,  0.039, 0.02,  0.008, 3
0.759, 0.094, 0.088, 0.021, 0.038, 1
0.693, 0.083, 0.18,  0.026, 0.018, 2
0.913, 0.032, 0.032, 0.018, 0.005, 3
0.822, 0.099, 0.013, 0.013, 0.025, 1
